level_0,index,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term_Months,Credit_History,Property_Area,Loan_Status
310,330,2823,1.0,1,0.0,1,0.0,5509,0,143.0,360.0,1,2,1.0
311,331,2825,1.0,1,3.0,1,0.0,9699,0,300.0,360.0,1,0,1.0
312,332,2826,0.0,1,1.0,0,0.0,3621,2717,171.0,360.0,1,0,1.0
313,333,2843,0.0,1,0.0,1,0.0,4709,0,113.0,360.0,1,1,1.0
314,334,2849,1.0,1,0.0,1,0.0,1516,1951,35.0,360.0,1,1,1.0
315,335,2850,1.0,0,2.0,1,0.0,2400,0,46.0,360.0,1,0,1.0
316,336,2853,0.0,0,0.0,0,0.0,3015,2000,145.0,360.0,0,0,0.0
317,337,2856,1.0,1,0.0,1,0.0,2292,1558,119.0,360.0,1,0,1.0
318,338,2857,1.0,1,1.0,1,1.0,2360,3355,87.0,240.0,1,2,1.0
319,339,2858,0.0,0,0.0,1,0.0,4333,2333,162.0,360.0,0,2,0.0
320,340,2860,1.0,1,0.0,1,1.0,2623,4831,122.0,180.0,1,1,1.0
321,341,2867,1.0,0,0.0,1,1.0,3972,4275,187.0,360.0,1,2,1.0
322,342,2869,1.0,1,3.0,0,0.0,3522,0,81.0,180.0,1,2,1.0
323,343,2870,1.0,1,1.0,1,0.0,4700,0,80.0,360.0,1,0,1.0
324,344,2876,1.0,0,0.0,1,0.0,6858,0,176.0,360.0,1,2,1.0
325,345,2878,1.0,1,3.0,1,0.0,8334,0,260.0,360.0,1,0,1.0
326,346,2879,1.0,1,0.0,1,0.0,3391,1966,133.0,360.0,0,2,0.0
327,347,2885,1.0,0,0.0,0,0.0,2868,0,70.0,360.0,1,0,1.0
328,348,2890,1.0,1,2.0,0,0.0,3418,1380,135.0,360.0,1,0,1.0
329,349,2891,1.0,1,0.0,1,1.0,2500,296,137.0,300.0,1,2,1.0
330,350,2899,1.0,1,2.0,1,0.0,8667,0,254.0,360.0,1,2,1.0
331,351,2901,1.0,0,0.0,1,0.0,2283,15000,106.0,360.0,0,2,0.0
332,352,2907,1.0,1,0.0,1,0.0,5817,910,109.0,360.0,1,0,1.0
333,353,2920,1.0,1,0.0,1,0.0,5119,3769,120.0,360.0,1,2,1.0
334,354,2921,1.0,1,3.0,0,0.0,5316,187,158.0,180.0,0,1,0.0
335,355,2932,1.0,1,3.0,1,0.0,7603,1213,197.0,360.0,1,0,1.0
336,356,2935,1.0,1,1.0,1,0.0,3791,1936,85.0,360.0,1,0,1.0
337,357,2952,1.0,0,0.0,1,0.0,2500,0,60.0,360.0,1,0,1.0
338,358,2954,1.0,1,2.0,0,0.0,3132,0,76.0,360.0,0,2,0.0
339,359,2962,1.0,0,0.0,1,0.0,4000,2667,152.0,360.0,1,1,1.0
340,360,2965,0.0,1,0.0,1,0.0,8550,4255,96.0,360.0,0,0,0.0
341,361,2969,1.0,1,1.0,1,0.0,2269,2167,99.0,360.0,1,1,1.0
342,362,2971,1.0,1,3.0,0,1.0,4009,1777,113.0,360.0,1,0,1.0
343,363,2975,1.0,1,0.0,1,0.0,4158,709,115.0,360.0,1,0,1.0
344,364,2980,1.0,0,0.0,1,0.0,3250,1993,126.0,360.0,0,1,0.0
345,365,2986,1.0,1,0.0,1,0.0,5000,2393,158.0,360.0,1,2,1.0
346,366,2989,1.0,0,0.0,1,1.0,9200,0,98.0,180.0,1,2,1.0
